"filename", "language", "Dart", "comment", "blank", "total"
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\app_responsive.dart", "Dart", 6, 0, 2, 8
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\constants.dart", "Dart", 152, 6, 22, 180
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\models\column_filter.dart", "Dart", 29, 0, 3, 32
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\models\portfolio.dart", "Dart", 48, 1, 7, 56
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\models\portfolio_asset.dart", "Dart", 70, 0, 8, 78
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\models\portfolio_currency.dart", "Dart", 37, 0, 5, 42
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\models\portfolio_trade.dart", "Dart", 60, 0, 6, 66
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\models\search_asset_model.dart", "Dart", 94, 0, 13, 107
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\services\auth.dart", "Dart", 71, 108, 20, 199
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\services\dashboard.dart", "Dart", 183, 23, 54, 260
"f:\flutter_apps\Track Wealth New\track_wealth\lib\main.dart", "Dart", 102, 13, 10, 125
"f:\flutter_apps\Track Wealth New\track_wealth\lib\page_wrapper\page_wrapper.dart", "Dart", 42, 0, 4, 46
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\analysis_page\analysis.dart", "Dart", 0, 2, 1, 3
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\auth\auth_page.dart", "Dart", 274, 2, 17, 293
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\auth\phone_auth.dart", "Dart", 268, 0, 24, 292
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\dashboard.dart", "Dart", 146, 0, 18, 164
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\header\columns_filter.dart", "Dart", 46, 1, 7, 54
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\header\header.dart", "Dart", 69, 1, 13, 83
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\header\operations\add_operation_dialog\add_operation_dialog.dart", "Dart", 267, 6, 22, 295
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\header\operations\add_operation_dialog\asset_search\searchable_dropdown.dart", "Dart", 82, 0, 14, 96
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\header\operations\operations.dart", "Dart", 114, 0, 9, 123
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\header\subheader.dart", "Dart", 100, 1, 17, 118
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\portfolio\add_new_portfolio.dart", "Dart", 173, 1, 16, 190
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\portfolio\portfolio.dart", "Dart", 157, 8, 25, 190
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\profile\profile.dart", "Dart", 52, 0, 9, 61
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\shimmers\dashboard_shimmer.dart", "Dart", 59, 0, 6, 65
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\side_bar\side_bar.dart", "Dart", 128, 2, 13, 143
"Total", "-", 2829, 175, 365, 3369
